ID	UG2Class	INetDesc
n03000134	ChainlinkFence	chainlink fence
n03781244	Church	monastery
n03028079	Church	church, church building
n04252225	ConstructionMachinery	snowplow, snowplough
n03532672	ConstructionMachinery	hook, claw
n03384352	ConstructionMachinery	forklift
n02012849	ConstructionMachinery	crane
n02859443	Dock	boathouse
n03216828	Dock	dock, dockage, docking facility
n02093256	Dog	Staffordshire bullterrier, Staffordshire bull terrier
n02107142	Dog	Doberman, Doberman pinscher
n02109047	Dog	Great Dane
n02099601	Dog	golden retriever
n02106662	Dog	German shepherd, German shepherd dog, German police dog, alsatian
n02099267	Dog	flat-coated retriever
n02109961	Dog	Eskimo dog, husky
n02100735	Dog	English setter
n02094433	Dog	Yorkshire terrier
n02110341	Dog	dalmatian, coach dog, carriage dog
n02114855	Dog	coyote, prairie wolf, brush wolf, Canis latrans
n02101388	Dog	Brittany spaniel
n02108089	Dog	boxer
n02106382	Dog	Bouvier des Flandres, Bouviers des Flandres
n02106166	Dog	Border collie
n02113712	Dog	miniature poodle
n02110806	Dog	basenji
n02116738	Dog	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
n02086079	Dog	Pekinese, Pekingese, Peke
n02114712	Dog	red wolf, maned wolf, Canis rufus, Canis niger
n02087394	Dog	Rhodesian ridgeback
n02092002	Dog	Scottish deerhound, deerhound
n02113799	Dog	standard poodle
n02108551	Dog	Tibetan mastiff
n02114367	Dog	timber wolf, grey wolf, gray wolf, Canis lupus
n02100583	Dog	vizsla, Hungarian pointer
n02114548	Dog	white wolf, Arctic wolf, Canis lupus tundrarum
n02096294	Dog	Australian terrier
n02111277	Dog	Newfoundland, Newfoundland dog
n03220513	Dome	dome
n03967562	FarmMachines	plow, plough
n03496892	FarmMachines	harvester, reaper
n04465501	FarmMachines	tractor
n04428191	FarmMachines	thresher, thrasher, threshing machine
n04604644	Fence	worm fence, snake fence, snake-rail fence, Virginia fence
n03930313	Fence	picket fence, paling
n03000134	Fence	chainlink fence
n02788148	Fence	bannister, banister, balustrade, balusters, handrail
n03355925	Flagpost	flagpole, flagstaff
n03991062	FlowerPot	pot, flowerpot
n03388043	Fountain	fountain
n03903868	FountainMonument	pedestal, plinth, footstall
n03388043	FountainMonument	fountain
n03445924	Golfcart	golfcart, golf cart
n03457902	Greenhouse	greenhouse, nursery, glasshouse
n02814860	Lighthouse	beacon, lighthouse, beacon light, pharos
n02395406	Livestock	hog, pig, grunter, squealer, Sus scrofa
n02437616	Livestock	llama
n02389026	Livestock	sorrel
n02412080	Livestock	ram, tup
n02403003	Livestock	ox
n02397096	Livestock	warthog
n02410509	Livestock	bison
n02415577	Livestock	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n09246464	Mountain	cliff, drop, drop-off
n09468604	Mountain	valley, vale
n09472597	Mountain	volcano
n09193705	Mountain	alp
n09399592	Mountain	promontory, headland, head, foreland
n03837869	Obelisk	obelisk
n04458633	Obelisk	totem pole
n03791053	OtherLandVehicle	motor scooter, scooter
n03785016	OtherLandVehicle	moped
n03393912	OtherLandVehicle	freight car
n02860847	OtherLandVehicle	bobsled, bobsleigh, bob
n03218198	OtherLandVehicle	dogsled, dog sled, dog sleigh
n02917067	OtherLandVehicle	bullet train, bullet
n02835271	OtherLandVehicle	bicycle-built-for-two, tandem bicycle, tandem
n03792782	OtherLandVehicle	mountain bike, all-terrain bike, off-roader
n03272562	OtherLandVehicle	electric locomotive
n03868242	OtherLandVehicle	oxcart
n03538406	OtherLandVehicle	horse cart, horse-cart
n04310018	OtherLandVehicle	steam locomotive
n04482393	OtherLandVehicle	tricycle, trike, velocipede
n04252077	OtherLandVehicle	snowmobile
n04346328	Palace	stupa, tope
n03956157	Palace	planetarium
n02980441	Palace	castle
n03788195	Palace	mosque
n03220513	Palace	dome
n03877845	Palace	palace
n03888257	Parachute	parachute, chute
n03891251	ParkBench	park bench
n03899768	Patio	patio, terrace
n03355925	Pole	flagpole, flagstaff
n03976657	Pole	pole
n04417672	Roof	thatch, thatched roof
n04435653	Roof	tile roof
n03042490	Ruins	cliff dwelling
n09332890	Shore	lakeside, lakeshore
n09428293	Shore	seashore, coast, seacoast, sea-coast
n09421951	Shore	sandbar, sand bar
n04326547	StoneWall	stone wall
n06794110	StreetSign	street sign
n06874185	StreetSigns	traffic light, traffic signal, stoplight
n06794110	StreetSigns	street sign
n04371774	Swing	swing
n03792972	Tent	mountain tent
n02747177	Trashcan	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
n04507155	Umbrella	umbrella
n04326547	Wall	stone wall
n02894605	Wall	breakwater, groin, groyne, mole, bulwark, seawall, jetty
n04562935	WaterTower	water tower
n04613696	Yurt	yurt
